INFO 2024-10-22 12:56:39,261 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-22 12:56:39,428 autoreload File /usr/lib/python3.10/email/_policybase.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,428 autoreload File /usr/lib/python3/dist-packages/yaml/loader.py first seen with mtime 1611178924.0
DEBUG 2024-10-22 12:56:39,428 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/pygments/plugin.py first seen with mtime 1716371656.3499575
DEBUG 2024-10-22 12:56:39,428 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/core/servers/__init__.py first seen with mtime 1729519783.3173637
DEBUG 2024-10-22 12:56:39,428 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/utils/timezone.py first seen with mtime 1729519783.359365
DEBUG 2024-10-22 12:56:39,428 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/forms/utils.py first seen with mtime 1729519783.3363643
DEBUG 2024-10-22 12:56:39,428 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/views/generic/dates.py first seen with mtime 1729519783.3633652
DEBUG 2024-10-22 12:56:39,428 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/jwcrypto/__init__.py first seen with mtime 1729519782.0443234
DEBUG 2024-10-22 12:56:39,428 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/rest_framework/utils/serializer_helpers.py first seen with mtime 1729505593.9879968
DEBUG 2024-10-22 12:56:39,428 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/oauthlib/oauth2/rfc6749/clients/legacy_application.py first seen with mtime 1729519781.9913218
DEBUG 2024-10-22 12:56:39,428 autoreload File /usr/lib/python3.10/warnings.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,428 autoreload File /usr/lib/python3.10/email/charset.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,429 autoreload File /usr/lib/python3/dist-packages/cryptography/hazmat/primitives/asymmetric/utils.py first seen with mtime 1629825437.0
DEBUG 2024-10-22 12:56:39,429 autoreload File /usr/lib/python3.10/numbers.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,429 autoreload File /usr/lib/python3/dist-packages/urllib3/util/retry.py first seen with mtime 1698160849.0
DEBUG 2024-10-22 12:56:39,429 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/sqlparse/engine/__init__.py first seen with mtime 1729503325.27082
DEBUG 2024-10-22 12:56:39,429 autoreload File /usr/lib/python3.10/copy.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,429 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/rest_framework/utils/humanize_datetime.py first seen with mtime 1729505593.986997
DEBUG 2024-10-22 12:56:39,429 autoreload File /usr/lib/python3/dist-packages/cryptography/hazmat/_der.py first seen with mtime 1629825437.0
DEBUG 2024-10-22 12:56:39,429 autoreload File /usr/lib/python3.10/logging/handlers.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,429 autoreload File /usr/lib/python3.10/abc.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,429 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/middleware/csrf.py first seen with mtime 1729519783.3473647
DEBUG 2024-10-22 12:56:39,429 autoreload File /usr/lib/python3/dist-packages/requests/cookies.py first seen with mtime 1608147266.0
DEBUG 2024-10-22 12:56:39,429 autoreload File /usr/lib/python3.10/email/policy.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,429 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/core/signals.py first seen with mtime 1729519783.3013632
DEBUG 2024-10-22 12:56:39,429 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/rest_framework/settings.py first seen with mtime 1729505593.9489958
